,source,destion,20050520-2315
0,at1.at,be1.be, 25.749422 
1,at1.at,ch1.ch, 94.737990 
2,at1.at,de1.de, 44.230841 
3,at1.at,es1.es, 0.743602 
4,at1.at,fr1.fr, 10.171899 
5,at1.at,gr1.gr, 0.862250 
6,at1.at,hr1.hr, 55.904677 
7,at1.at,hu1.hu, 18.801093 
8,at1.at,ie1.ie, 0.044816 
9,at1.at,il1.il, 0.004442 
10,at1.at,it1.it, 0.082266 
11,at1.at,nl1.nl, 11.276956 
12,at1.at,ny1.ny, 18.466967 
13,at1.at,pt1.pt, 0.455811 
14,at1.at,se1.se, 26.284913 
15,at1.at,si1.si, 14.571883 
16,at1.at,uk1.uk, 2.205165 
17,be1.be,at1.at, 113.641368 
18,be1.be,ch1.ch, 7.519020 
19,be1.be,cz1.cz, 0.017994 
20,be1.be,de1.de, 12.642026 
21,be1.be,es1.es, 3.766033 
22,be1.be,fr1.fr, 29.424079 
23,be1.be,gr1.gr, 5.508584 
24,be1.be,hr1.hr, 0.006748 
25,be1.be,hu1.hu, 30.708120 
26,be1.be,ie1.ie, 0.006748 
27,be1.be,il1.il, 0.671626 
28,be1.be,it1.it, 0.030702 
29,be1.be,nl1.nl, 6.429202 
30,be1.be,ny1.ny, 138.374073 
31,be1.be,pl1.pl, 5.776526 
32,be1.be,pt1.pt, 0.006635 
33,be1.be,se1.se, 71.040953 
34,be1.be,si1.si, 1.520606 
35,be1.be,sk1.sk, 5.948368 
36,be1.be,uk1.uk, 7.907466 
37,ch1.ch,at1.at, 172.916547 
38,ch1.ch,be1.be, 0.032164 
39,ch1.ch,cz1.cz, 2.139375 
40,ch1.ch,de1.de, 41.861874 
41,ch1.ch,es1.es, 41.740695 
42,ch1.ch,fr1.fr, 69.878034 
43,ch1.ch,gr1.gr, 7.568504 
44,ch1.ch,hr1.hr, 0.094356 
45,ch1.ch,hu1.hu, 4.575257 
46,ch1.ch,ie1.ie, 0.372982 
47,ch1.ch,il1.il, 0.319450 
48,ch1.ch,it1.it, 102.651979 
49,ch1.ch,nl1.nl, 3.573385 
50,ch1.ch,ny1.ny, 241.193284 
51,ch1.ch,pl1.pl, 14.758346 
52,ch1.ch,pt1.pt, 86.291210 
53,ch1.ch,se1.se, 63.540321 
54,ch1.ch,si1.si, 1.633799 
55,ch1.ch,sk1.sk, 0.860844 
56,ch1.ch,uk1.uk, 76.226488 
57,cz1.cz,be1.be, 0.931977 
58,cz1.cz,ch1.ch, 2.326063 
59,cz1.cz,de1.de, 17.470549 
60,cz1.cz,es1.es, 8.596243 
61,cz1.cz,fr1.fr, 0.523963 
62,cz1.cz,gr1.gr, 4.708469 
63,cz1.cz,hr1.hr, 2.563640 
64,cz1.cz,hu1.hu, 17.614838 
65,cz1.cz,ie1.ie, 0.005848 
66,cz1.cz,it1.it, 0.587392 
67,cz1.cz,nl1.nl, 27.893633 
68,cz1.cz,ny1.ny, 69.414351 
69,cz1.cz,pt1.pt, 0.709133 
70,cz1.cz,se1.se, 98.842536 
71,cz1.cz,si1.si, 76.033278 
72,cz1.cz,uk1.uk, 49.199211 
73,de1.de,at1.at, 21.148411 
74,de1.de,be1.be, 15.981770 
75,de1.de,ch1.ch, 113.252192 
76,de1.de,cz1.cz, 43.147883 
77,de1.de,es1.es, 88.118333 
78,de1.de,fr1.fr, 276.086191 
79,de1.de,gr1.gr, 1930.692825 
80,de1.de,hr1.hr, 721.918892 
81,de1.de,hu1.hu, 1370.335476 
82,de1.de,ie1.ie, 0.036944 
83,de1.de,il1.il, 284.445981 
84,de1.de,it1.it, 291.073286 
85,de1.de,nl1.nl, 26.233405 
86,de1.de,ny1.ny, 300.222395 
87,de1.de,pl1.pl, 75.201730 
88,de1.de,pt1.pt, 54.623447 
89,de1.de,se1.se, 201.017842 
90,de1.de,si1.si, 2205.609181 
91,de1.de,sk1.sk, 19.600027 
92,de1.de,uk1.uk, 268.614968 
93,es1.es,at1.at, 1.912482 
94,es1.es,be1.be, 1.354724 
95,es1.es,ch1.ch, 8.486310 
96,es1.es,cz1.cz, 11.952012 
