,source,destion,20040825-1850
0,ATLAM5,ATLAng, 0.375067 
1,ATLAM5,CHINng, 0.478331 
2,ATLAM5,HSTNng, 0.262413 
3,ATLAM5,IPLSng, 0.129211 
4,ATLAM5,KSCYng, 0.892613 
5,ATLAM5,LOSAng, 0.026667 
6,ATLAM5,NYCMng, 0.053333 
7,ATLAM5,STTLng, 0.086136 
8,ATLAM5,WASHng, 0.897819 
9,ATLAng,ATLAM5, 4.110453 
10,ATLAng,CHINng, 17.548299 
11,ATLAng,DNVRng, 3.449499 
12,ATLAng,HSTNng, 20.034712 
13,ATLAng,IPLSng, 33.754843 
14,ATLAng,KSCYng, 7.307973 
15,ATLAng,LOSAng, 25.441177 
16,ATLAng,NYCMng, 9.440608 
17,ATLAng,SNVAng, 6.833993 
18,ATLAng,STTLng, 4.250163 
19,ATLAng,WASHng, 54.122435 
20,CHINng,ATLAM5, 7.381069 
21,CHINng,ATLAng, 26.244371 
22,CHINng,DNVRng, 14.372160 
23,CHINng,HSTNng, 18.679496 
24,CHINng,IPLSng, 135.107445 
25,CHINng,KSCYng, 30.033107 
26,CHINng,LOSAng, 66.148133 
27,CHINng,NYCMng, 30.060368 
28,CHINng,SNVAng, 10.790901 
29,CHINng,STTLng, 6.812995 
30,CHINng,WASHng, 66.580587 
31,DNVRng,ATLAM5, 0.258533 
32,DNVRng,ATLAng, 13.579440 
33,DNVRng,CHINng, 39.240947 
34,DNVRng,HSTNng, 18.588355 
35,DNVRng,IPLSng, 14.477491 
36,DNVRng,KSCYng, 14.138221 
37,DNVRng,LOSAng, 10.496688 
38,DNVRng,NYCMng, 25.157701 
39,DNVRng,SNVAng, 14.063368 
40,DNVRng,STTLng, 21.702005 
41,DNVRng,WASHng, 33.931829 
42,HSTNng,ATLAM5, 1.423781 
43,HSTNng,ATLAng, 7.030923 
44,HSTNng,CHINng, 22.544363 
45,HSTNng,DNVRng, 2.356245 
46,HSTNng,IPLSng, 6.063541 
47,HSTNng,KSCYng, 11.471091 
48,HSTNng,LOSAng, 9.218757 
49,HSTNng,NYCMng, 4.849765 
50,HSTNng,SNVAng, 0.428437 
51,HSTNng,STTLng, 0.994635 
52,HSTNng,WASHng, 10.583963 
53,IPLSng,ATLAM5, 0.771301 
54,IPLSng,ATLAng, 25.475293 
55,IPLSng,CHINng, 88.284315 
56,IPLSng,DNVRng, 8.747685 
57,IPLSng,HSTNng, 7.808899 
58,IPLSng,KSCYng, 28.493931 
59,IPLSng,LOSAng, 27.576605 
60,IPLSng,NYCMng, 20.336733 
61,IPLSng,SNVAng, 3.047112 
62,IPLSng,STTLng, 9.311019 
63,IPLSng,WASHng, 58.153157 
64,KSCYng,ATLAM5, 1.022587 
65,KSCYng,ATLAng, 14.267973 
66,KSCYng,CHINng, 23.976277 
67,KSCYng,DNVRng, 6.470083 
68,KSCYng,HSTNng, 5.246805 
69,KSCYng,IPLSng, 18.937483 
70,KSCYng,LOSAng, 5.177747 
71,KSCYng,NYCMng, 9.360987 
72,KSCYng,SNVAng, 2.946088 
73,KSCYng,STTLng, 6.046968 
74,KSCYng,WASHng, 18.172397 
75,LOSAng,ATLAM5, 0.289637 
76,LOSAng,ATLAng, 23.103808 
77,LOSAng,CHINng, 114.972387 
78,LOSAng,DNVRng, 22.931576 
79,LOSAng,HSTNng, 8.420440 
80,LOSAng,IPLSng, 44.119939 
81,LOSAng,KSCYng, 13.995824 
82,LOSAng,NYCMng, 40.998584 
83,LOSAng,SNVAng, 29.681491 
84,LOSAng,STTLng, 20.511013 
85,LOSAng,WASHng, 101.651515 
86,NYCMng,ATLAM5, 1.142213 
87,NYCMng,ATLAng, 66.088992 
88,NYCMng,CHINng, 41.823264 
89,NYCMng,DNVRng, 24.168184 
90,NYCMng,HSTNng, 12.447936 
91,NYCMng,IPLSng, 34.850699 
92,NYCMng,KSCYng, 24.980581 
93,NYCMng,LOSAng, 72.854213 
94,NYCMng,SNVAng, 4.166573 
95,NYCMng,STTLng, 12.981963 
96,NYCMng,WASHng, 145.940272 
97,SNVAng,ATLAng, 0.086277 
98,SNVAng,CHINng, 0.229749 
99,SNVAng,DNVRng, 11.138200 
100,SNVAng,HSTNng, 0.122283 
101,SNVAng,IPLSng, 1.586845 
102,SNVAng,KSCYng, 0.037997 
103,SNVAng,LOSAng, 26.250456 
104,SNVAng,NYCMng, 0.053333 
105,SNVAng,STTLng, 38.212123 
106,SNVAng,WASHng, 0.339941 
107,STTLng,ATLAM5, 0.182083 
108,STTLng,ATLAng, 21.293677 
109,STTLng,CHINng, 24.706872 
110,STTLng,DNVRng, 5.627413 
111,STTLng,HSTNng, 2.792789 
112,STTLng,IPLSng, 10.605453 
113,STTLng,KSCYng, 3.379149 
114,STTLng,LOSAng, 29.863648 
115,STTLng,NYCMng, 13.998448 
116,STTLng,SNVAng, 4.545824 
117,STTLng,WASHng, 19.747749 
118,WASHng,ATLAM5, 5.353771 
119,WASHng,ATLAng, 142.930877 
120,WASHng,CHINng, 167.469165 
121,WASHng,DNVRng, 72.084347 
122,WASHng,HSTNng, 43.946413 
123,WASHng,IPLSng, 96.663301 
124,WASHng,KSCYng, 33.261627 
125,WASHng,LOSAng, 68.819203 
126,WASHng,NYCMng, 208.057837 
127,WASHng,SNVAng, 7.736461 
128,WASHng,STTLng, 27.809141 
