,source,destion,20040502-0045
0,ATLAM5,ATLAng, 0.352555 
1,ATLAM5,CHINng, 0.393941 
2,ATLAM5,DNVRng, 0.101931 
3,ATLAM5,HSTNng, 2.124704 
4,ATLAM5,IPLSng, 0.932480 
5,ATLAM5,KSCYng, 0.083349 
6,ATLAM5,LOSAng, 1.156403 
7,ATLAM5,NYCMng, 0.675640 
8,ATLAM5,SNVAng, 0.026667 
9,ATLAM5,STTLng, 0.121101 
10,ATLAM5,WASHng, 1.873768 
11,ATLAng,ATLAM5, 1.808917 
12,ATLAng,CHINng, 27.590723 
13,ATLAng,DNVRng, 7.980624 
14,ATLAng,HSTNng, 4.333069 
15,ATLAng,IPLSng, 21.367299 
16,ATLAng,KSCYng, 3.032925 
17,ATLAng,LOSAng, 22.572195 
18,ATLAng,NYCMng, 8.301397 
19,ATLAng,SNVAng, 0.994523 
20,ATLAng,STTLng, 4.411696 
21,ATLAng,WASHng, 39.126683 
22,CHINng,ATLAM5, 1.546960 
23,CHINng,ATLAng, 25.011875 
24,CHINng,DNVRng, 26.679291 
25,CHINng,HSTNng, 49.441843 
26,CHINng,IPLSng, 57.309288 
27,CHINng,KSCYng, 13.413456 
28,CHINng,LOSAng, 286.439653 
29,CHINng,NYCMng, 23.924104 
30,CHINng,SNVAng, 2.247136 
31,CHINng,STTLng, 18.605117 
32,CHINng,WASHng, 33.199989 
33,DNVRng,ATLAM5, 0.430528 
34,DNVRng,ATLAng, 11.081957 
35,DNVRng,CHINng, 55.110085 
36,DNVRng,HSTNng, 15.410725 
37,DNVRng,IPLSng, 30.598731 
38,DNVRng,KSCYng, 8.213005 
39,DNVRng,LOSAng, 5.066424 
40,DNVRng,NYCMng, 16.193923 
41,DNVRng,SNVAng, 5.649864 
42,DNVRng,STTLng, 6.819045 
43,DNVRng,WASHng, 41.873877 
44,HSTNng,ATLAM5, 3.273773 
45,HSTNng,ATLAng, 5.810413 
46,HSTNng,CHINng, 24.955219 
47,HSTNng,DNVRng, 3.298216 
48,HSTNng,IPLSng, 8.624464 
49,HSTNng,KSCYng, 4.317712 
50,HSTNng,LOSAng, 5.719381 
51,HSTNng,NYCMng, 5.729643 
52,HSTNng,SNVAng, 1.435149 
53,HSTNng,STTLng, 7.376429 
54,HSTNng,WASHng, 5.001083 
55,IPLSng,ATLAM5, 3.187925 
56,IPLSng,ATLAng, 18.511483 
57,IPLSng,CHINng, 116.068043 
58,IPLSng,DNVRng, 8.905267 
59,IPLSng,HSTNng, 5.320963 
60,IPLSng,KSCYng, 7.206779 
61,IPLSng,LOSAng, 56.908533 
62,IPLSng,NYCMng, 45.762981 
63,IPLSng,SNVAng, 1.088347 
64,IPLSng,STTLng, 9.927597 
65,IPLSng,WASHng, 43.714560 
66,KSCYng,ATLAM5, 1.096285 
67,KSCYng,ATLAng, 2.536608 
68,KSCYng,CHINng, 17.163245 
69,KSCYng,DNVRng, 8.960995 
70,KSCYng,HSTNng, 5.661019 
71,KSCYng,IPLSng, 9.381133 
72,KSCYng,LOSAng, 7.034784 
73,KSCYng,NYCMng, 9.829789 
74,KSCYng,SNVAng, 1.428163 
75,KSCYng,STTLng, 1.035040 
76,KSCYng,WASHng, 13.208821 
77,LOSAng,ATLAM5, 1.640229 
78,LOSAng,ATLAng, 16.291464 
79,LOSAng,CHINng, 1079.948800 
80,LOSAng,DNVRng, 14.564168 
81,LOSAng,HSTNng, 29.502965 
82,LOSAng,IPLSng, 31.010768 
83,LOSAng,KSCYng, 14.495811 
84,LOSAng,NYCMng, 66.693203 
85,LOSAng,SNVAng, 18.139827 
86,LOSAng,STTLng, 23.784069 
87,LOSAng,WASHng, 62.223531 
88,NYCMng,ATLAM5, 3.301776 
89,NYCMng,ATLAng, 26.522557 
90,NYCMng,CHINng, 52.382989 
91,NYCMng,DNVRng, 40.797077 
92,NYCMng,HSTNng, 13.898456 
93,NYCMng,IPLSng, 68.982869 
94,NYCMng,KSCYng, 28.135253 
95,NYCMng,LOSAng, 84.344125 
96,NYCMng,SNVAng, 4.821419 
97,NYCMng,STTLng, 25.367120 
98,NYCMng,WASHng, 138.385651 
99,SNVAng,ATLAM5, 0.029053 
100,SNVAng,ATLAng, 1.922395 
101,SNVAng,CHINng, 0.852200 
102,SNVAng,DNVRng, 6.448312 
103,SNVAng,HSTNng, 0.422400 
104,SNVAng,IPLSng, 1.158424 
105,SNVAng,KSCYng, 0.481877 
106,SNVAng,LOSAng, 58.348872 
107,SNVAng,NYCMng, 0.907677 
108,SNVAng,STTLng, 56.644976 
109,SNVAng,WASHng, 0.269475 
110,STTLng,ATLAM5, 0.225837 
111,STTLng,ATLAng, 9.287507 
112,STTLng,CHINng, 23.420152 
113,STTLng,DNVRng, 9.220163 
114,STTLng,HSTNng, 12.606179 
115,STTLng,IPLSng, 9.515752 
116,STTLng,KSCYng, 4.419211 
117,STTLng,LOSAng, 24.950184 
118,STTLng,NYCMng, 7.934875 
119,STTLng,SNVAng, 6.181869 
120,STTLng,WASHng, 12.650787 
121,WASHng,ATLAM5, 1.175757 
122,WASHng,ATLAng, 92.111064 
123,WASHng,CHINng, 62.893952 
124,WASHng,DNVRng, 53.227549 
125,WASHng,HSTNng, 11.110208 
126,WASHng,IPLSng, 59.899685 
127,WASHng,KSCYng, 19.502624 
128,WASHng,LOSAng, 104.978381 
129,WASHng,NYCMng, 146.700168 
130,WASHng,SNVAng, 5.070736 
131,WASHng,STTLng, 27.441501 
