,source,destion,20040710-0155
0,ATLAM5,ATLAng, 0.473525 
1,ATLAM5,CHINng, 0.580752 
2,ATLAM5,DNVRng, 0.155368 
3,ATLAM5,HSTNng, 0.026667 
4,ATLAM5,IPLSng, 0.061099 
5,ATLAM5,LOSAng, 0.168739 
6,ATLAM5,NYCMng, 0.365643 
7,ATLAM5,SNVAng, 0.013333 
8,ATLAM5,STTLng, 0.058901 
9,ATLAM5,WASHng, 0.126656 
10,ATLAng,ATLAM5, 0.126528 
11,ATLAng,CHINng, 4.815344 
12,ATLAng,DNVRng, 5.305907 
13,ATLAng,HSTNng, 0.825645 
14,ATLAng,IPLSng, 20.529579 
15,ATLAng,KSCYng, 2.847320 
16,ATLAng,LOSAng, 12.374204 
17,ATLAng,NYCMng, 4.405869 
18,ATLAng,SNVAng, 0.884145 
19,ATLAng,STTLng, 3.734501 
20,ATLAng,WASHng, 21.016144 
21,CHINng,ATLAM5, 0.622203 
22,CHINng,ATLAng, 12.645629 
23,CHINng,DNVRng, 11.147285 
24,CHINng,HSTNng, 10.024776 
25,CHINng,IPLSng, 19.251589 
26,CHINng,KSCYng, 5.035808 
27,CHINng,LOSAng, 34.044389 
28,CHINng,NYCMng, 7.591168 
29,CHINng,SNVAng, 1.696176 
30,CHINng,STTLng, 4.544952 
31,CHINng,WASHng, 13.025475 
32,DNVRng,ATLAM5, 0.446549 
33,DNVRng,ATLAng, 4.520320 
34,DNVRng,CHINng, 69.469472 
35,DNVRng,HSTNng, 16.435571 
36,DNVRng,IPLSng, 26.236752 
37,DNVRng,KSCYng, 19.059571 
38,DNVRng,LOSAng, 8.839435 
39,DNVRng,NYCMng, 14.568976 
40,DNVRng,SNVAng, 8.187533 
41,DNVRng,STTLng, 31.147325 
42,DNVRng,WASHng, 51.128208 
43,HSTNng,ATLAM5, 0.937344 
44,HSTNng,ATLAng, 1.211091 
45,HSTNng,CHINng, 8.405056 
46,HSTNng,DNVRng, 0.472048 
47,HSTNng,IPLSng, 5.501043 
48,HSTNng,KSCYng, 1.714048 
49,HSTNng,LOSAng, 13.117403 
50,HSTNng,NYCMng, 2.139355 
51,HSTNng,STTLng, 5.870221 
52,HSTNng,WASHng, 2.519864 
53,IPLSng,ATLAM5, 0.047723 
54,IPLSng,ATLAng, 11.351829 
55,IPLSng,CHINng, 20.676477 
56,IPLSng,DNVRng, 10.588205 
57,IPLSng,HSTNng, 23.456752 
58,IPLSng,KSCYng, 2.218973 
59,IPLSng,LOSAng, 15.614669 
60,IPLSng,NYCMng, 37.039045 
61,IPLSng,SNVAng, 5.214677 
62,IPLSng,STTLng, 23.595587 
63,IPLSng,WASHng, 9.822904 
64,KSCYng,ATLAM5, 0.049227 
65,KSCYng,ATLAng, 1.243952 
66,KSCYng,CHINng, 14.047008 
67,KSCYng,DNVRng, 10.086048 
68,KSCYng,HSTNng, 3.141248 
69,KSCYng,IPLSng, 11.222248 
70,KSCYng,LOSAng, 1.861416 
71,KSCYng,NYCMng, 2.879861 
72,KSCYng,SNVAng, 2.202365 
73,KSCYng,STTLng, 4.247205 
74,KSCYng,WASHng, 9.678707 
75,LOSAng,ATLAM5, 1.664280 
76,LOSAng,ATLAng, 15.709504 
77,LOSAng,CHINng, 44.916979 
78,LOSAng,DNVRng, 9.226419 
79,LOSAng,HSTNng, 5.938421 
80,LOSAng,IPLSng, 15.550581 
81,LOSAng,KSCYng, 4.139627 
82,LOSAng,NYCMng, 38.713584 
83,LOSAng,SNVAng, 14.217888 
84,LOSAng,STTLng, 28.090307 
85,LOSAng,WASHng, 22.520819 
86,NYCMng,ATLAM5, 0.483221 
87,NYCMng,ATLAng, 18.679429 
88,NYCMng,CHINng, 18.163115 
89,NYCMng,DNVRng, 22.845245 
90,NYCMng,HSTNng, 7.741515 
91,NYCMng,IPLSng, 16.003240 
92,NYCMng,KSCYng, 13.975128 
93,NYCMng,LOSAng, 58.679781 
94,NYCMng,SNVAng, 0.936312 
95,NYCMng,STTLng, 14.644963 
96,NYCMng,WASHng, 52.383933 
97,SNVAng,ATLAng, 0.027541 
98,SNVAng,DNVRng, 46.221835 
99,SNVAng,HSTNng, 0.027861 
100,SNVAng,IPLSng, 0.252627 
101,SNVAng,KSCYng, 0.026667 
102,SNVAng,LOSAng, 56.439360 
103,SNVAng,NYCMng, 0.280875 
104,SNVAng,STTLng, 31.729349 
105,SNVAng,WASHng, 0.250584 
106,STTLng,ATLAM5, 0.139672 
107,STTLng,ATLAng, 11.361525 
108,STTLng,CHINng, 30.132533 
109,STTLng,DNVRng, 5.578296 
110,STTLng,HSTNng, 9.888731 
111,STTLng,IPLSng, 5.399365 
112,STTLng,KSCYng, 2.977141 
113,STTLng,LOSAng, 17.108792 
114,STTLng,NYCMng, 11.803147 
115,STTLng,SNVAng, 4.261139 
116,STTLng,WASHng, 5.455531 
117,WASHng,ATLAM5, 0.279885 
118,WASHng,ATLAng, 106.068357 
119,WASHng,CHINng, 42.487931 
120,WASHng,DNVRng, 57.876707 
121,WASHng,HSTNng, 29.026939 
122,WASHng,IPLSng, 50.465824 
123,WASHng,KSCYng, 11.545435 
124,WASHng,LOSAng, 65.323693 
125,WASHng,NYCMng, 116.557115 
126,WASHng,SNVAng, 9.088635 
127,WASHng,STTLng, 49.570048 
